,Comment,sentiment
87,"['mera', 'bharat', 'mahan', 'aaj', 'khna', 'pdega', 'sirf', 'modi', 'hai', 'mahan']",0.0
88,"['good', 'analysis', 'sir']",0.4404
89,"['buddha', 'traffic', 'jam', 'dekhna', 'saara', 'doubt', 'clear', 'ho', 'jyega', 'ye', 'vo', 'log', 'hein', 'jo', 'maoist', 'dwara', 'crpf', 'ke', 'jawano', 'ke', 'marne', 'pr', 'khush', 'hote', 'hein']",0.0258
90,"['anti', 'nationalist', 'superhuman', 'accord', 'mr', 'ravish', 'congressi']",-0.3182
91,"['amit', 'shah', 'r', 'killer', 'father', 'sten', 'swami']",-0.6486
92,"['ush', 'ka', 'atma', 'ko', 'santi', 'mile']",0.0
93,"['feel', 'ashamed', 'great', 'nation']",0.25
94,"['ok', 'sar', 'g']",0.296
95,"['frstan', 'sacrifice', 'go', 'vainhe', 'prove', 'innocent', 'one', 'day']",0.34
96,"['dngaithlak', 'aman', 'hla', 'hin', 'e', 'hahnem', 'ngaihna', 'zarah', 'burma', 'news', 'te', 'kan', 'han', 'hre', 'hin', 'hahnem', 'ngai', 'erawh', 'na', 'hle', 'mai', 'theitawkin', 'awngai', 'pui', 'zel', 'ang', 'u', 'jail', 'tang', 'chhuah', 'theih', 'nan', 'te', 'raltlan', 'te', 'theinan', 'te', 'mipuithlan', 'tlin', 'ten', 'rorelna', 'chan', 'theih', 'nan', 'te', 'suamhmang', 'rual', 'leh', 'mi', 'hur', 'rual', 'te', 'mi', 'tih', 'hreawmxel', 'loh', 'nan', 'te', 'awngai', 'zel', 'ang', 'aw']",0.0
97,"['kab', 'hogi', 'india', 'santi']",0.0
98,"['adiwasi', 'ki', 'madad', 'karne', 'valo', 'ko', 'congresh', 'amp', 'bjp', 'india', 'sab', 'jagah', 'esa', 'hi', 'hota']",0.0
99,"['rip', 'sir', 'ji']",0.0
100,"['jiski', 'biwi', 'aur', 'bachhe', 'nahin', 'aur', 'jisne', 'apne', 'baap', 'ko', 'khatam', 'kar', 'diya', 'woh', 'desh', 'ke', 'saath', 'bhi', 'aisa', 'hi', 'karega']",0.0
101,"['god', 'know', 'truth', 'wait']",0.5267
102,"['r', 'ip', 'fr', 'stan']",0.0
103,"['bahot', 'bahot', 'bura', 'kiya', 'unke', 'saath', 'unki', 'atma', 'ko', 'shanti', 'mile']",0.0
104,"['quottoo', 'much', 'democracy', 'indiaquot']",0.0
105,"['jo', 'sahi', 'kam', 'karte', 'unko', 'jati', 'wad', 'fasa', 'dete', 'kya', 'kare', 'ye', 'humara', 'durbhagya', 'hai']",0.0
106,"['really', 'injustice', 'whatever', 'happen', 'age', 'illegal', 'thing', 'shameful', 'sad', 'news', 'say', 'injustice', 'work', 'pray', 'noble', 'soul', 'remember', 'god', 'every', 'wrong', 'thing', 'answer', 'god', 'whoever', 'involve']",-0.9258
107,"['work', 'towards', 'beatification', 'late', 'father', 'stan', 'swamy', 'finally', 'sainthood', 'may', 'bestow', 'quotsaint', 'tribals', 'amp', 'government', 'atrocity']",0.0
108,"['great', 'news', 'india']",0.6249
109,"['worry', 'god', 'watch', 'punish', 'bjp', 'politician', 'prove', 'evil', 'power', 'win']",-0.7003
110,['e'],0.0
111,['mehar'],0.0
112,"['nia', 'pay', 'father', 'stans', 'death', 'god', 'send', 'punishment', 'fast', 'evidence', 'want', 'eye', 'humble', 'priest', 'year', 'priest', 'god', 'bless', 'thank', 'good', 'ness', 'father', 'stan', 'swamygod', 'judge']",0.4939
113,"['life', 'rationalist', 'atheist', 'ambedkerites', 'honest', 'intellectual', 'social', 'reform', 'activist', 'opponent', 'sanghi', 'brahminism', 'dangerthe', 'hitleri', 'nazi', 'experiment', 'full', 'swing', 'indiainternational', 'community', 'must', 'vigilant', 'help', 'check', 'grow', 'fascist', 'onslaught', 'right', 'activist', 'india']",0.7506
114,"['vah', 'ravishji', 'tarah', 'deshko', 'bachayenge', 'apaki', 'akkal', 'hamesha', 'aisa', 'kam', 'kyo', 'karati', 'hai']",0.0
115,"['jihadi', 'mar', 'gya', 'ndtv', 'murdabad', 'father', 'ndtv', 'ka']",0.0
116,"['true', 'reporter', 'sir']",0.4215
117,"['charge', 'indulge', 'anti', 'nationa', 'activity']",-0.3182
118,"['yee', 'jail', 'kyu', 'thaa']",0.0
